Voltage_V,Current_A,Battery_Temperature_°C,Charge_Discharge_Cycles,Ambient_Temperature_°C,Humidity_%,Avg_Cycles_Per_Hour,Energy_Consumption_Wh,Temp_Fluctuation_°C,SOH_%
3.643,-4.333,46.974,349,-6.369,47.829,61.747,15.088,53.343,93.494
3.108,16.619,22.009,214,-7.624,44.995,4.947,43.018,29.633,97.060
4.002,-14.975,16.335,382,20.604,89.046,22.615,57.314,4.269,91.642
3.385,-3.262,27.256,123,-8.191,89.859,1.773,17.240,35.447,99.722
3.224,-6.218,48.428,291,26.962,51.879,3.025,25.817,21.466,94.166
3.049,-0.074,27.378,667,25.624,20.714,80.607,0.149,1.754,85.099
3.709,-1.695,50.804,704,-6.019,34.925,7.874,4.436,56.823,84.118
3.813,0.756,59.326,327,35.331,92.744,4.946,3.078,23.995,94.309
3.020,-14.403,4.322,564,16.096,91.900,6.545,43.837,11.774,90.986
3.615,0.526,2.725,681,35.222,56.268,41.675,3.380,32.497,84.092
3.272,-10.303,8.975,846,35.081,44.329,9.323,45.793,26.106,84.263
3.774,-12.627,23.062,97,-0.148,44.220,1.012,37.174,23.210,94.671
3.209,-17.407,7.863,658,9.029,91.776,7.250,30.304,1.166,85.375
3.829,10.506,52.240,299,-3.269,45.979,3.796,26.290,55.509,94.346
3.464,-2.902,1.389,29,28.749,60.926,2.917,15.588,27.360,97.633
4.124,5.066,18.948,73,15.206,78.481,3.194,36.993,3.742,100.000
3.165,9.104,11.082,171,36.440,36.758,1.871,48.229,25.358,97.445
3.409,7.173,55.892,884,0.411,40.307,37.279,41.198,55.481,79.192
3.136,-1.180,40.169,922,24.418,48.645,26.028,3.299,15.751,82.453
4.110,-4.484,54.722,83,39.462,72.338,13.840,36.557,15.260,94.969
4.053,-4.962,58.340,984,23.269,85.399,15.574,12.662,35.071,79.681
3.310,5.602,29.826,584,-6.561,63.736,10.288,32.109,36.387,89.616
3.792,-0.208,14.059,743,19.421,30.634,7.722,0.509,5.362,86.415
3.981,13.965,11.624,289,-1.008,55.700,3.235,50.107,12.632,93.681
3.666,14.988,13.375,638,-8.475,30.215,12.488,68.305,21.850,86.076
3.636,-13.178,42.516,84,6.748,27.064,1.370,27.791,35.768,95.440
3.290,-14.551,2.427,253,3.305,67.169,6.037,52.242,0.878,95.020
3.112,5.216,3.082,663,29.439,96.497,46.976,16.641,26.357,88.235
4.077,-7.951,36.489,823,8.684,87.009,9.469,47.676,27.805,87.066
4.081,-19.257,38.523,518,26.648,81.958,9.349,123.935,11.875,87.723
3.760,15.546,39.916,451,-9.188,78.164,10.461,37.161,49.104,92.088
3.407,-10.924,22.313,306,-9.259,91.770,39.341,20.734,31.572,95.082
3.419,17.171,48.357,647,-8.534,80.227,9.675,97.680,56.891,85.135
3.871,8.697,32.017,183,0.968,70.150,4.511,43.496,31.049,97.244
4.077,10.506,6.328,972,8.699,49.174,37.219,55.767,2.371,78.585
4.065,-11.942,47.826,313,20.392,28.076,3.565,95.684,27.434,93.297
3.936,-10.632,57.184,340,39.296,56.883,17.727,48.401,17.888,91.964
3.770,0.851,3.602,226,7.720,93.983,4.347,2.548,4.118,96.318
3.101,-13.116,23.481,836,-7.217,66.648,10.479,61.862,30.698,83.782
3.194,-7.783,29.251,755,-0.255,34.760,8.876,42.845,29.506,83.336
4.078,-7.142,8.788,263,34.893,71.922,3.205,36.509,26.105,94.450
3.728,-13.615,52.063,449,24.969,57.237,5.002,78.050,27.094,89.852
3.011,-11.793,17.049,250,29.510,94.510,16.564,45.128,12.461,92.425
3.122,11.542,46.981,407,-3.792,32.875,4.325,40.035,50.773,90.450
3.796,-13.312,40.260,169,-3.251,76.961,81.663,27.864,43.511,94.920
3.006,-18.862,35.883,565,-4.388,74.528,21.455,43.126,40.271,85.871
3.193,5.174,11.529,911,32.858,98.683,97.749,20.149,21.329,79.956
3.658,19.039,13.242,131,0.498,65.193,1.385,76.246,12.744,96.350
3.830,-6.751,2.841,826,22.158,89.726,19.223,45.619,19.317,83.334
3.782,-15.254,14.443,605,15.808,21.977,18.782,38.230,1.365,85.077
3.269,2.815,20.727,45,17.219,29.831,2.565,5.293,3.508,100.000
3.855,16.254,49.989,349,-0.228,47.675,21.247,39.520,50.217,93.549
3.285,11.362,21.984,98,21.762,69.546,1.586,56.626,0.222,97.367
3.390,4.901,45.277,745,-7.845,55.926,131.594,23.122,53.122,82.094
3.896,-7.398,26.367,780,39.674,36.216,13.035,41.745,13.307,83.503
3.780,1.675,47.092,36,-8.662,67.136,0.463,4.656,55.754,98.239
4.019,-16.350,58.576,437,-7.492,65.336,7.223,83.750,66.068,88.095
3.789,7.158,14.390,944,6.232,61.956,11.397,44.792,8.158,78.429
3.682,9.004,51.740,74,31.581,27.244,2.715,50.585,20.159,99.283
3.112,18.601,37.309,57,2.859,94.162,6.597,67.034,34.450,97.504
3.441,-9.584,49.038,18,13.597,67.380,0.249,21.609,35.441,100.000
3.318,-19.262,39.095,401,-9.101,41.119,4.832,115.422,48.196,90.986
3.293,1.824,25.437,187,-6.056,74.993,3.691,7.744,31.493,97.470
4.168,8.272,13.684,912,20.398,45.433,11.089,63.249,6.714,82.744
3.472,11.616,4.202,138,-0.282,60.468,2.978,46.705,4.484,97.898
4.070,-12.250,32.131,142,24.713,47.291,6.875,42.654,7.418,98.991
3.757,-9.530,59.420,967,29.270,90.432,20.161,34.412,30.150,80.094
3.954,0.504,44.283,107,32.517,99.518,4.781,2.246,11.766,94.416
3.603,-6.776,19.641,220,-3.310,32.895,4.609,34.700,22.951,92.560
3.692,14.420,49.632,144,12.775,21.886,9.226,88.023,36.857,94.878
3.591,-1.050,46.139,857,37.354,37.546,44.242,3.258,8.785,83.866
3.234,11.983,16.898,509,28.604,67.196,5.757,30.289,11.706,88.699
3.867,3.225,0.858,375,-4.152,33.916,30.072,10.027,5.010,92.852
3.337,10.924,7.090,4,15.125,84.919,0.172,69.325,8.035,100.000
3.029,-6.693,52.638,956,36.119,52.694,9.603,15.122,16.519,80.607
3.775,13.257,50.194,387,12.002,68.843,6.669,50.977,38.192,86.921
3.213,-9.017,17.713,567,31.871,56.449,9.611,35.600,14.158,85.931
4.129,1.844,17.112,766,14.792,92.266,9.049,10.159,2.320,87.990
4.145,-11.440,47.572,983,-4.659,22.811,18.580,84.743,52.231,80.093
4.098,-0.979,56.264,970,-2.607,78.344,42.254,2.685,58.871,74.625
3.444,-7.273,46.748,733,-7.666,72.174,17.116,16.582,54.414,84.929
3.019,-9.332,36.335,871,-0.234,71.961,11.499,27.458,36.569,85.685
4.114,18.679,14.560,559,34.681,53.119,6.398,86.052,20.121,88.792
3.514,-13.597,31.545,815,22.510,21.254,29.058,50.678,9.035,83.220
4.160,11.493,14.011,162,26.943,75.139,6.014,52.011,12.932,92.703
4.156,19.367,48.481,747,21.083,86.358,22.343,143.044,27.398,83.318
4.024,-19.204,23.218,759,9.327,26.818,12.645,135.621,13.891,80.623
3.353,7.961,50.022,364,0.843,55.329,12.740,45.599,49.179,89.547
3.462,-9.884,22.897,416,36.281,33.008,4.652,55.876,13.384,88.269
4.021,-18.380,49.449,508,15.741,68.875,5.193,41.431,33.708,92.617
3.380,-3.884,19.999,611,14.055,82.848,8.955,9.506,5.944,88.989
3.203,17.409,26.408,20,39.805,73.337,0.206,89.122,13.397,100.000
3.668,-19.529,36.929,613,9.196,45.445,20.782,99.731,27.733,84.225
4.123,3.515,4.217,516,32.706,31.179,6.316,21.897,28.489,89.910
3.835,0.056,56.892,959,33.117,83.541,14.069,0.338,23.775,78.233
3.684,14.935,34.416,196,1.634,45.913,7.244,102.726,32.782,93.420
3.117,-16.640,30.469,660,-5.258,21.771,20.294,75.348,35.727,87.057
3.738,7.261,50.364,344,38.781,65.714,6.967,24.790,11.583,92.850
4.188,7.204,51.946,329,11.295,39.734,4.145,18.842,40.651,93.379
3.168,6.763,31.336,377,-9.889,87.296,4.316,24.599,41.225,89.511
3.622,17.693,55.636,210,14.951,31.460,3.294,100.277,40.685,94.997
4.053,12.924,3.884,159,20.965,54.784,2.195,48.340,17.081,97.235
3.889,-18.321,6.794,657,28.804,40.250,24.225,48.459,22.010,85.199
3.836,-1.157,35.807,569,37.147,75.168,7.651,8.868,1.340,87.674
3.843,-4.082,21.244,353,35.759,63.882,5.797,17.700,14.515,89.348
3.431,-7.594,27.854,239,37.007,83.279,10.360,21.482,9.153,90.523
3.352,-1.947,19.685,78,-8.394,56.689,0.820,4.874,28.079,100.000
3.971,-4.632,24.284,151,25.589,20.385,2.917,33.001,1.305,96.982
3.972,-2.707,49.359,516,1.293,37.216,6.478,18.595,48.066,88.376
4.040,19.170,35.609,382,-0.622,99.933,7.203,109.973,36.231,93.051
4.096,-16.455,59.841,692,30.016,52.428,7.412,89.020,29.825,83.376
3.614,16.889,47.213,351,10.856,69.619,23.421,117.628,36.357,92.140
3.602,-0.791,16.420,200,35.830,92.395,3.632,2.400,19.410,98.036
3.958,4.950,15.861,950,-7.878,21.642,272.179,22.004,23.739,78.527
3.780,13.207,20.154,132,30.109,72.769,6.426,26.808,9.955,96.040
3.842,-5.581,50.596,964,-3.158,43.070,33.447,24.184,53.754,77.332
3.955,-2.783,1.637,633,-1.171,42.340,13.246,11.847,2.808,88.935
4.068,-3.619,13.811,168,13.868,37.988,2.044,28.329,0.057,96.771
3.406,-5.011,54.295,865,9.779,85.818,18.327,17.705,44.516,84.412
3.451,17.021,38.394,390,14.309,49.836,6.896,102.922,24.085,92.987
3.113,13.157,13.611,857,37.001,25.369,9.267,67.576,23.390,81.863
3.694,-15.640,13.149,384,22.869,27.748,5.060,41.650,9.720,92.802
3.043,-15.675,51.757,819,4.515,31.889,137.183,92.731,47.242,83.482
3.559,-2.885,53.625,97,-1.355,91.914,5.252,14.852,54.980,98.916
3.651,-16.054,15.368,793,11.002,54.195,165.777,81.755,4.366,86.510
3.344,4.764,25.231,376,12.582,93.284,47.980,8.245,12.649,90.006
3.709,-14.252,50.076,991,20.065,85.398,28.686,81.871,30.011,75.517
3.037,0.895,46.260,958,3.300,87.031,13.113,1.586,42.960,78.267
3.045,-19.711,48.835,779,28.375,42.947,30.924,46.700,20.460,84.644
3.987,-7.336,31.104,837,-5.077,41.705,21.011,18.951,36.181,83.682
3.432,7.088,54.693,339,18.023,64.805,8.476,25.963,36.670,91.406
3.152,-0.638,19.557,530,21.177,53.434,8.917,3.406,1.620,88.644
3.627,19.131,9.400,975,0.342,60.725,10.906,108.320,9.058,78.196
3.924,14.964,42.524,131,31.301,24.256,1.332,38.757,11.223,96.547
3.259,-5.637,32.361,607,20.772,97.727,9.974,31.188,11.589,85.993
3.747,-18.181,51.275,209,22.286,24.654,4.098,81.154,28.989,98.175
3.102,13.825,4.870,4,14.887,34.307,0.058,23.542,10.017,100.000
3.062,16.449,50.622,376,35.480,74.256,5.601,42.094,15.142,93.211
3.638,12.825,17.598,639,24.696,32.440,12.086,78.281,7.098,86.715
3.649,-14.882,39.291,53,9.092,28.550,0.717,86.884,30.199,100.000
3.765,19.917,2.408,497,1.930,32.290,10.013,58.680,0.478,89.940
3.871,-9.657,36.575,197,-6.447,24.954,1.977,20.822,43.022,95.912
4.171,8.968,43.036,440,-1.732,40.105,75.204,35.266,44.768,87.137
3.620,16.321,22.125,717,39.634,41.690,15.977,99.990,17.509,85.460
3.388,-10.573,12.925,179,10.338,59.890,4.441,68.332,2.587,93.367
3.954,16.330,32.258,240,34.934,55.098,3.106,87.770,2.676,93.633
3.325,-7.621,49.991,785,-1.472,57.897,39.464,16.133,51.463,84.057
3.527,19.057,19.413,319,11.268,69.283,7.254,84.228,8.145,91.207
3.094,-8.750,15.148,500,38.026,38.477,7.133,54.096,22.878,90.535
3.030,18.137,16.736,649,-5.443,30.776,10.689,104.855,22.179,88.432
4.155,-17.858,56.948,22,19.699,90.310,0.400,147.644,37.249,96.485
4.003,8.371,21.557,631,35.959,70.715,14.321,51.910,14.402,87.140
3.835,1.284,0.216,626,37.484,24.853,8.297,5.609,37.268,84.957
3.491,-0.885,46.901,593,32.300,96.884,9.124,5.684,14.601,85.309
3.208,-11.060,41.956,707,32.797,75.445,8.071,65.382,9.159,85.734
3.188,8.224,7.714,179,22.609,32.136,2.433,18.787,14.895,97.676
3.300,-12.368,59.094,863,1.021,97.531,57.918,67.878,58.073,78.791
3.659,2.114,36.484,174,26.534,49.233,2.791,14.534,9.950,100.000
3.858,-9.870,30.047,197,38.919,98.761,36.419,70.361,8.872,94.414
3.792,18.225,22.933,537,16.297,28.262,13.647,107.828,6.636,88.906
3.336,-18.855,53.920,453,3.035,32.798,10.842,82.150,50.885,88.922
4.146,-12.011,14.638,98,18.674,72.594,1.144,82.919,4.036,96.910
3.885,-10.308,17.146,744,24.531,21.771,39.455,51.029,7.385,87.730
3.665,-3.437,7.345,426,0.414,21.495,6.583,12.368,6.931,94.356
3.734,-10.691,45.547,452,25.959,83.359,22.548,35.465,19.588,87.026
3.504,-0.346,35.733,190,19.372,33.422,2.002,1.589,16.361,94.707
3.297,14.899,36.544,973,20.617,93.503,18.214,58.157,15.927,85.785
3.427,8.483,13.108,577,5.299,54.072,8.114,37.407,7.809,87.276
3.909,3.198,39.070,757,-2.237,89.892,11.645,11.139,41.307,85.259
3.017,-16.440,45.928,498,21.172,53.421,16.033,68.739,24.756,91.510
3.139,7.760,21.473,615,19.312,62.418,6.817,36.370,2.161,89.010
3.055,-13.343,48.081,190,6.901,45.321,3.011,69.716,41.180,89.735
3.049,11.455,20.927,140,4.795,72.646,2.717,48.372,16.132,97.417
4.027,-9.998,45.488,690,7.362,45.456,12.944,65.792,38.126,88.915
3.844,-3.318,2.024,772,14.494,37.854,8.657,9.618,12.470,84.550
3.569,-5.981,33.070,174,38.741,26.484,25.391,14.549,5.671,94.034
3.117,14.353,58.172,419,28.178,24.614,10.603,34.424,29.994,88.822
3.590,-14.938,58.875,675,32.587,44.478,8.005,94.888,26.288,85.039
3.568,2.626,16.905,433,15.282,78.918,91.854,12.501,1.623,92.459
3.208,-14.318,26.484,439,16.306,36.450,6.830,54.336,10.178,96.463
3.521,8.192,3.779,530,0.216,43.938,12.951,47.398,3.563,88.546
3.478,16.203,52.400,531,26.052,92.414,24.984,38.665,26.348,89.787
3.739,-2.616,34.114,917,11.079,71.133,14.904,4.982,23.035,78.205
3.762,-0.476,23.106,798,27.122,93.578,9.583,1.731,4.016,80.430
3.054,17.097,6.766,360,10.453,92.898,7.616,45.601,3.687,91.511
3.450,0.840,56.806,750,-4.574,25.073,48.303,2.785,61.380,85.309
3.751,-0.496,31.813,445,-1.347,96.401,14.213,3.647,33.160,90.591
3.604,3.133,16.976,555,30.579,24.094,5.654,15.262,13.603,88.760
4.028,7.569,21.013,707,2.931,94.050,58.926,42.185,18.082,84.890
3.790,-15.725,16.242,706,3.218,63.739,41.749,88.413,13.024,85.220
3.196,12.844,36.109,356,36.468,62.655,3.595,45.014,0.359,91.706
3.085,-2.580,55.798,856,22.882,77.061,9.691,15.668,32.916,79.544
